### ExBalance Mineral Cost Tiers 

@tier_1_small_cost = 3
@tier_1_medium_cost = 6
@tier_1_large_cost = 12
@tier_1_xl_cost = 24

@tier_2_small_cost = 4
@tier_2_medium_cost = 8
@tier_2_large_cost = 16
@tier_2_xl_cost = 32

@tier_3_small_cost = 5
@tier_3_medium_cost = 10
@tier_3_large_cost = 20
@tier_3_xl_cost = 40

@tier_4_small_cost = 6
@tier_4_medium_cost = 12
@tier_4_large_cost = 24
@tier_4_xl_cost = 48

@tier_5_small_cost = 7
@tier_5_medium_cost = 14
@tier_5_large_cost = 28
@tier_5_xl_cost = 56

@tier_6_small_cost = 8
@tier_6_medium_cost = 16
@tier_6_large_cost = 32
@tier_6_xl_cost = 64

@tier_7_small_cost = 9
@tier_7_medium_cost = 18
@tier_7_large_cost = 36
@tier_7_xl_cost = 72

### ExBalance Power Cost Tiers 

@tier_1_small_power = -3
@tier_1_medium_power = -6
@tier_1_large_power = -12

@tier_2_small_power = -6
@tier_2_medium_power = -12
@tier_2_large_power = -24

@tier_3_small_power = -9
@tier_3_medium_power = -18
@tier_3_large_power = -36

@tier_4_small_power = -12
@tier_4_medium_power = -24
@tier_4_large_power = -48

@tier_5_small_power = -15
@tier_5_medium_power = -30
@tier_5_large_power = -60
@tier_5_xl_power = -120

@tier_6_small_power = -18
@tier_6_medium_power = -36
@tier_6_large_power = -72
@tier_6_xl_power = -144

@tier_7_small_power = -21
@tier_7_medium_power = -42
@tier_7_large_power = -84
@tier_7_xl_power = -168

### ExBalance Strike Craft Parameters

@count = 8

@tier_0_fighter_attack_range = 6
@tier_0_launch_time = 2
@tier_0_fighter_speed = 4.5
@tier_0_acceleration = 0.5
@tier_0_regen = 0.1
@tier_0_figher_health = 6
@tier_0_fighter_evasion = 0.1
@tier_0_fighter_accuracy = 0.8 
@tier_0_fighter_tracking = 0.5

@tier_1_fighter_attack_range = 8
@tier_1_bomber_attack_range = 10
@tier_1_launch_time = 1.5
@tier_1_fighter_speed = 5.5
@tier_1_bomber_speed = 5
@tier_1_acceleration = 0.75
@tier_1_regen = 0.15
@tier_1_figher_health = 8
@tier_1_bomber_health = 10
@tier_1_fighter_evasion = 0.2
@tier_1_bomber_evasion = 0.1
@tier_1_fighter_accuracy = 0.8 
@tier_1_fighter_tracking = 0.55
@tier_1_bomber_accuracy = 0.9 
@tier_1_bomber_tracking = 0.3

@tier_2_fighter_attack_range = 10
@tier_2_bomber_attack_range = 12
@tier_2_launch_time = 1
@tier_2_fighter_speed = 6.5
@tier_2_bomber_speed = 6
@tier_2_acceleration = 1
@tier_2_regen = 0.2
@tier_2_figher_health = 10
@tier_2_bomber_health = 12
@tier_2_fighter_evasion = 0.3
@tier_2_bomber_evasion = 0.2
@tier_2_fighter_accuracy = 0.8
@tier_2_fighter_tracking = 0.6
@tier_2_bomber_accuracy = 0.9 
@tier_2_bomber_tracking = 0.35

@tier_3_fighter_attack_range = 12
@tier_3_bomber_attack_range = 14
@tier_3_launch_time = 0.5
@tier_3_fighter_speed = 7.5
@tier_3_bomber_speed = 7
